Kiosque,Ville,Implantation,Segment,Ruptures_sum,Ruptures_mean,Ruptures_min,Ruptures_max,Gravity
141104,Douvres-la-Délivrande,Ds Superette,Alimentation,146,48%,0,1,1
141106,Caen,Ds Supermarche,Rayons Supermarches,95,31%,0,1,1
141107,Troarn,Epicerie,Autres,0,0%,0,0,-1
141108,Hermanville-sur-Mer,Dans La Rue,Bars (Dont Tabac),73,34%,0,1,1
141109,Blainville-sur-Orne,Ccial Avec Hyp.,Enseignes/Concepts,5,3%,0,1,-1
141110,Caumont-l'Éventé,Ccial Avec Sup.,Bars (Dont Tabac),3,10%,0,1,-1
150002,Allanche,Dans La Rue,Presse Et Connexes,64,21%,0,1,0
150015,Aurillac,Dans La Rue,Presse Tabac (Hors Bar),31,10%,0,1,-1
150021,Aurillac,Dans La Rue,Presse Librairie Papeterie,83,27%,0,1,1
150022,Aurillac,Dans La Rue,Presse Tabac (Hors Bar),66,24%,0,1,1
150023,Aurillac,Dans La Rue,Presse Librairie Papeterie,1,2%,0,1,-1
150025,Aurillac,Dans La Rue,Presse Tabac (Hors Bar),68,28%,0,1,1
150028,Aurillac,Dans La Rue,Bars (Dont Tabac),61,20%,0,1,0
150032,Aurillac,Dans La Rue,Bars (Dont Tabac),59,20%,0,1,0
150034,Aurillac,Dans La Rue,Presse Librairie Papeterie,41,14%,0,1,0
150036,Aurillac,Dans La Rue,Enseignes/Concepts,1,100%,1,1,1
150037,Aurillac,Ds Hypermarche,Rayons Hypermarches,27,9%,0,1,-1
150040,Aurillac,Ds Supermarche,Rayons Supermarches,28,12%,0,1,-1
150046,Boisset,Dans La Rue,Presse Tabac (Hors Bar),75,27%,0,1,1
150048,Saignes,Dans La Rue,Presse Librairie Papeterie,49,17%,0,1,0
150049,Ydes,Dans La Rue,Enseignes/Concepts,4,11%,0,1,-1
150053,Cassaniouze,Ds Superette,Alimentation,21,14%,0,1,0
150058,Champs-sur-Tarentaine-Marchal,Dans La Rue,Bars (Dont Tabac),39,26%,0,1,1
150060,Chaudes-Aigues,Dans La Rue,Presse Librairie Papeterie,94,32%,0,1,1
150078,Jussac,Dans La Rue,Presse Tabac (Hors Bar),78,26%,0,1,1
150084,Laroquebrou,Dans La Rue,Bars (Dont Tabac),69,26%,0,1,1
150089,Rouget-Pers,Dans La Rue,Presse Librairie Papeterie,28,9%,0,1,-1
150103,Massiac,Dans La Rue,Presse Librairie Papeterie,62,20%,0,1,0
150105,Mauriac,Dans La Rue,Enseignes/Concepts,40,13%,0,1,0
150106,Mauriac,Ds Supermarche,Rayons Supermarches,36,12%,0,1,-1
150112,Montsalvy,Dans La Rue,Bars (Dont Tabac),36,19%,0,1,0
150115,Murat,Dans La Rue,Enseignes/Concepts,39,13%,0,1,-1
150116,Murat,Dans La Rue,Enseignes/Concepts,49,16%,0,1,0
150120,Neussargues-Moissac,Dans La Rue,Bars (Dont Tabac),12,14%,0,1,0
150125,Raulhac,Epicerie,Presse Tabac (Hors Bar),28,25%,0,1,1
150127,Pierrefort,Dans La Rue,Presse Librairie Papeterie,38,12%,0,1,-1
150129,Pleaux,Dans La Rue,Enseignes/Concepts,51,17%,0,1,0
150132,Raulhac,Dans La Rue,Bars (Dont Tabac),43,19%,0,1,0
150135,Riom-ès-Montagnes,Dans La Rue,Enseignes/Concepts,75,24%,0,1,1
