Date,Delivered,Sales,code_dept
08-2015,9845.0,5230.0,07
09-2015,7353.0,3331.0,07
10-2015,7021.0,3159.0,07
11-2015,6754.0,2651.0,07
12-2015,5066.0,2561.0,07
01-2016,4431.0,2323.0,07
02-2016,4511.0,2236.0,07
03-2016,4547.0,2335.0,07
04-2016,5500.0,2554.0,07
05-2016,5528.0,2517.0,07
06-2016,6042.0,2917.0,07
07-2016,7224.0,3955.0,07
08-2016,7553.0,4328.0,07
09-2016,6751.0,2832.0,07
10-2016,6691.0,2621.0,07
11-2016,6658.0,2432.0,07
12-2016,5726.0,2387.0,07
01-2014,2443.0,1007.0,08
02-2014,2140.0,880.0,08
03-2014,2664.0,1190.0,08
04-2014,2602.0,1059.0,08
05-2014,2825.0,1040.0,08
06-2014,2429.0,938.0,08
07-2014,2447.0,922.0,08
08-2014,2382.0,1000.0,08
09-2014,2777.0,1003.0,08
10-2014,2615.0,1000.0,08
11-2014,2392.0,927.0,08
12-2014,2014.0,968.0,08
01-2015,2421.0,1111.0,08
02-2015,2047.0,892.0,08
03-2015,2010.0,834.0,08
04-2015,2074.0,891.0,08
05-2015,1739.0,774.0,08
06-2015,1793.0,800.0,08
07-2015,1754.0,771.0,08
08-2015,1476.0,720.0,08
09-2015,1548.0,644.0,08
10-2015,2439.0,827.0,08
11-2015,2529.0,972.0,08
12-2015,2000.0,801.0,08
01-2016,1832.0,696.0,08
02-2016,1860.0,735.0,08
03-2016,1828.0,754.0,08
04-2016,1706.0,697.0,08
05-2016,1793.0,690.0,08
06-2016,1911.0,740.0,08
07-2016,1766.0,700.0,08
08-2016,1681.0,748.0,08
09-2016,2055.0,698.0,08
10-2016,2273.0,789.0,08
11-2016,2433.0,790.0,08
12-2016,2060.0,829.0,08
01-2014,3785.0,1875.0,09
02-2014,3764.0,1634.0,09
03-2014,4416.0,2190.0,09
04-2014,4353.0,1940.0,09
05-2014,4170.0,1829.0,09
06-2014,3634.0,1676.0,09
07-2014,5242.0,2636.0,09
08-2014,6225.0,3304.0,09
09-2014,4977.0,2269.0,09
10-2014,4004.0,1786.0,09
11-2014,3353.0,1514.0,09
12-2014,3647.0,1787.0,09
01-2015,3941.0,1890.0,09
02-2015,3547.0,1780.0,09
03-2015,3986.0,1584.0,09
04-2015,3686.0,1589.0,09
05-2015,3438.0,1604.0,09
06-2015,3527.0,1554.0,09
07-2015,3999.0,2050.0,09
08-2015,4863.0,2569.0,09
09-2015,3368.0,1727.0,09
10-2015,3695.0,1650.0,09
11-2015,3922.0,1494.0,09
12-2015,3618.0,1498.0,09
01-2016,3430.0,1371.0,09
02-2016,3536.0,1521.0,09
03-2016,3466.0,1394.0,09
04-2016,3105.0,1401.0,09
05-2016,3194.0,1314.0,09
06-2016,3290.0,1463.0,09
07-2016,4142.0,1955.0,09
08-2016,4766.0,2509.0,09
09-2016,3844.0,1726.0,09
10-2016,3540.0,1508.0,09
11-2016,3807.0,1405.0,09
12-2016,3768.0,1453.0,09
01-2014,5396.0,2390.0,10
02-2014,5001.0,2205.0,10
03-2014,5408.0,2700.0,10
04-2014,5241.0,2600.0,10
05-2014,5299.0,2502.0,10
06-2014,5011.0,2301.0,10
07-2014,5356.0,2741.0,10
08-2014,5024.0,2767.0,10
09-2014,5285.0,2651.0,10
10-2014,5081.0,2626.0,10
11-2014,4762.0,2258.0,10
